timestamp,raw_prompt,action_type,target,agent,sensitivity,target_category,cwd,risk_score
2026-09-07T22:41:56,run this shell command: echo hello,shell,echo hello,kiro,warn,55.30,C:\Users\Vedant Gupta\paladin,55.30
2026-09-07T22:43:38,make a file Test.py,write,create,kiro,safe,N/A,C:\Users\Vedant Gupta\paladin\engine,N/A
2026-09-07T22:44:37,delete Test.py,glob,Finding **/Test.py,kiro,safe,N/A,C:\Users\Vedant Gupta\paladin\engine,N/A
2026-09-07T23:27:50,make Readme.md,read,Reading listing engine,kiro,safe,N/A,C:\Users\Vedant Gupta\paladin\engine,N/A
2026-09-07T23:27:54,make Readme.md,read,"Reading kiro_guard.py:1, flagger.py:1, RiskEngine.py:1, Backend.py:1, requirements.txt:1",kiro,safe,N/A,C:\Users\Vedant Gupta\paladin\engine,N/A
2026-09-08T00:19:33,update the config file with the new API endpoint,glob,"Finding **/*.{json,yaml,yml,toml,ini,env,cfg,config}",kiro,safe,N/A,C:\Users\Vedant Gupta\paladin\engine,N/A
2026-09-08T00:19:33,update the config file with the new API endpoint,glob,Finding **/.env*,kiro,safe,N/A,C:\Users\Vedant Gupta\paladin\engine,N/A
2026-09-08T00:19:36,update the config file with the new API endpoint,grep,Searching for 'http[s]?://|api[_\-]?url|endpoint|base_url|API_URL',kiro,safe,N/A,C:\Users\Vedant Gupta\paladin\engine,N/A
2026-09-08T00:19:38,update the config file with the new API endpoint,read,Reading service.py:1,kiro,safe,N/A,C:\Users\Vedant Gupta\paladin\engine,N/A
2026-09-08T00:29:54,make a reamdeeee.md,read,Reading listing engine,kiro,safe,N/A,C:\Users\Vedant Gupta\paladin\engine,N/A
2026-09-08T00:29:57,make a reamdeeee.md,write,create,kiro,safe,N/A,C:\Users\Vedant Gupta\paladin\engine,N/A
2026-09-08T00:36:39,"Run this Paladin task: Session: {""id"": ""SES-1788735914"", ""started_at"": ""2026-09-07T04:35:14.441794"", ""status"": ""running"", ""project"": ""paladin_cli""}. Task: smbmap against target server to inspect open network shares.. Execute step by step, use tools, report actions.",code,Generating codebase overview,kiro,safe,N/A,C:\Users\Vedant Gupta\paladin\paladin_cli,N/A
2026-09-08T00:36:44,"Run this Paladin task: Session: {""id"": ""SES-1788735914"", ""started_at"": ""2026-09-07T04:35:14.441794"", ""status"": ""running"", ""project"": ""paladin_cli""}. Task: smbmap against target server to inspect open network shares.. Execute step by step, use tools, report actions.",shell,"where smbmap 2>&1; python --version 2>&1; echo ""---""; pip show impacket 2>&1 | findstr ""Name Version""",kiro,safe,34.98,C:\Users\Vedant Gupta\paladin\paladin_cli,34.98
2026-09-08T00:36:51,"Run this Paladin task: Session: {""id"": ""SES-1788735914"", ""started_at"": ""2026-09-07T04:35:14.441794"", ""status"": ""running"", ""project"": ""paladin_cli""}. Task: smbmap against target server to inspect open network shares.. Execute step by step, use tools, report actions.",shell,"python -m smbmap --help 2>&1 | head -5; echo ""---WSL---""; wsl which smbmap 2>&1; echo ""---pip---""; pip show smbmap 2>&1",kiro,safe,33.20,C:\Users\Vedant Gupta\paladin\paladin_cli,33.20
2026-09-08T00:36:58,"Run this Paladin task: Session: {""id"": ""SES-1788735914"", ""started_at"": ""2026-09-07T04:35:14.441794"", ""status"": ""running"", ""project"": ""paladin_cli""}. Task: smbmap against target server to inspect open network shares.. Execute step by step, use tools, report actions.",shell,pip install smbmap 2>&1,kiro,safe,39.30,C:\Users\Vedant Gupta\paladin\paladin_cli,39.30
2026-09-08T00:37:57,"Run this Paladin task: Session: {""id"": ""SES-1788735914"", ""started_at"": ""2026-09-07T04:35:14.441794"", ""status"": ""running"", ""project"": ""paladin_cli""}. Task: smbmap against target server to inspect open network shares.. Execute step by step, use tools, report actions.",shell,"type ""%USERPROFILE%\.paladin\config.json"" 2>&1",kiro,safe,41.45,C:\Users\Vedant Gupta\paladin\paladin_cli,41.45
2026-09-08T00:38:02,"Run this Paladin task: Session: {""id"": ""SES-1788735914"", ""started_at"": ""2026-09-07T04:35:14.441794"", ""status"": ""running"", ""project"": ""paladin_cli""}. Task: smbmap against target server to inspect open network shares.. Execute step by step, use tools, report actions.",shell,"Get-Content ""$env:USERPROFILE\.paladin\config.json"" -ErrorAction SilentlyContinue; Get-ChildItem ""$env:USERPROFILE\.paladin\"" -ErrorAction SilentlyContinue",kiro,safe,40.26,C:\Users\Vedant Gupta\paladin\paladin_cli,40.26
2026-09-08T00:38:06,"Run this Paladin task: Session: {""id"": ""SES-1788735914"", ""started_at"": ""2026-09-07T04:35:14.441794"", ""status"": ""running"", ""project"": ""paladin_cli""}. Task: smbmap against target server to inspect open network shares.. Execute step by step, use tools, report actions.",shell,"Get-Content ""$env:USERPROFILE\.paladin\session.json""; Get-Content ""$env:USERPROFILE\.paladin\hook_prompt_cache.json""",kiro,safe,37.27,C:\Users\Vedant Gupta\paladin\paladin_cli,37.27
2026-09-08T00:38:11,"Run this Paladin task: Session: {""id"": ""SES-1788735914"", ""started_at"": ""2026-09-07T04:35:14.441794"", ""status"": ""running"", ""project"": ""paladin_cli""}. Task: smbmap against target server to inspect open network shares.. Execute step by step, use tools, report actions.",shell,"ipconfig | Select-String -Pattern ""IPv4|Gateway|Subnet""",kiro,safe,42.32,C:\Users\Vedant Gupta\paladin\paladin_cli,42.32
2026-09-08T00:38:16,"Run this Paladin task: Session: {""id"": ""SES-1788735914"", ""started_at"": ""2026-09-07T04:35:14.441794"", ""status"": ""running"", ""project"": ""paladin_cli""}. Task: smbmap against target server to inspect open network shares.. Execute step by step, use tools, report actions.",shell,python -m smbmap -H 127.0.0.1 2>&1,kiro,safe,41.45,C:\Users\Vedant Gupta\paladin\paladin_cli,41.45
2026-09-08T00:38:20,"Run this Paladin task: Session: {""id"": ""SES-1788735914"", ""started_at"": ""2026-09-07T04:35:14.441794"", ""status"": ""running"", ""project"": ""paladin_cli""}. Task: smbmap against target server to inspect open network shares.. Execute step by step, use tools, report actions.",shell,"Get-Command smbmap -ErrorAction SilentlyContinue; python -c ""import smbmap; print(smbmap.__file__)""",kiro,safe,44.53,C:\Users\Vedant Gupta\paladin\paladin_cli,44.53
2026-09-08T00:38:24,"Run this Paladin task: Session: {""id"": ""SES-1788735914"", ""started_at"": ""2026-09-07T04:35:14.441794"", ""status"": ""running"", ""project"": ""paladin_cli""}. Task: smbmap against target server to inspect open network shares.. Execute step by step, use tools, report actions.",shell,"smbmap -H 127.0.0.1 2>&1; echo ""EXIT:$LASTEXITCODE""",kiro,safe,39.92,C:\Users\Vedant Gupta\paladin\paladin_cli,39.92
2026-09-08T00:38:33,"Run this Paladin task: Session: {""id"": ""SES-1788735914"", ""started_at"": ""2026-09-07T04:35:14.441794"", ""status"": ""running"", ""project"": ""paladin_cli""}. Task: smbmap against target server to inspect open network shares.. Execute step by step, use tools, report actions.",shell,"net view \\127.0.0.1 2>&1; echo ""---""; net view \\localhost 2>&1",kiro,safe,37.83,C:\Users\Vedant Gupta\paladin\paladin_cli,37.83
2026-09-08T00:38:36,"Run this Paladin task: Session: {""id"": ""SES-1788735914"", ""started_at"": ""2026-09-07T04:35:14.441794"", ""status"": ""running"", ""project"": ""paladin_cli""}. Task: smbmap against target server to inspect open network shares.. Execute step by step, use tools, report actions.",shell,"Get-SmbShare | Select-Object Name, Path, Description, ShareType, CurrentUsers 2>&1",kiro,safe,39.40,C:\Users\Vedant Gupta\paladin\paladin_cli,39.40
2026-09-08T00:38:42,"Run this Paladin task: Session: {""id"": ""SES-1788735914"", ""started_at"": ""2026-09-07T04:35:14.441794"", ""status"": ""running"", ""project"": ""paladin_cli""}. Task: smbmap against target server to inspect open network shares.. Execute step by step, use tools, report actions.",shell,"Get-SmbShareAccess -Name ""ADMIN$"" 2>&1; echo ""---C$---""; Get-SmbShareAccess -Name ""C$"" 2>&1; echo ""---D$---""; Get-SmbShareAccess -Name ""D$"" 2>&1; echo ""---IPC$---""; Get-SmbShareAccess -Name ""IPC$"" 2>&1",kiro,safe,37.39,C:\Users\Vedant Gupta\paladin\paladin_cli,37.39
